comment_id,bim360_account_id,bim360_project_id,issue_id,comment_body,created_by,created_at
684ad1cd-c117-49a2-a586-c2a515e92a13,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,c0aa9e16-73fc-47ab-b43e-48091b5bc3c6,this was added per code to ensure a better install,6CP8NR4JT8MK,Wed Sep 25 2019 19:55:46 GMT+0000 (Coordinated Universal Time)
3ee3cf97-8581-4a89-9ba6-285e0ea2b6ac,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,b6e8e221-96b4-47fd-9ffc-968dc9273715,this cable is waiting to be installed,6CP8NR4JT8MK,Wed Sep 25 2019 19:59:26 GMT+0000 (Coordinated Universal Time)
31ac2cad-6213-4280-ba2d-8b1b43e0bdb8,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,aacadc91-47c7-4b2e-93c2-1b20e95c3b7c,signed,6CP8NR4JT8MK,Wed Sep 25 2019 19:57:12 GMT+0000 (Coordinated Universal Time)
d6dfc508-9641-4b59-bfec-6f04a7310513,49df69ab-c266-4d49-951c-031b16f7a31f,bd25b19e-8398-4c4c-ae3f-5c60a66b78b9,f5670a3c-5766-4e09-8cac-855d98e987d3,the cable will be run through the wall,6CP8NR4JT8MK,Wed Sep 25 2019 19:58:29 GMT+0000 (Coordinated Universal Time)
57c040a4-451f-43f9-8df3-8a06f8232b10,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,d73b895f-0394-4d2b-adc1-eb4157a45cb7,Flush bolt installed. ,G2U4LR77Q9KR,Thu Sep 26 2019 00:27:19 GMT+0000 (Coordinated Universal Time)
870856a4-dd30-479c-a630-1b95d7541fd9,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,143e5c99-15a5-486d-b12d-a003fb141531,Paint touch up needed. ,G2U4LR77Q9KR,Thu Sep 26 2019 00:13:45 GMT+0000 (Coordinated Universal Time)
a93bbfed-848d-4a5c-b1f9-83d4c4cef7f7,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,ea3e4d8e-852b-4c02-a599-e7de3b42a1d2,Crack has been filled.,L248NLLCA8KU,Wed Sep 25 2019 21:33:57 GMT+0000 (Coordinated Universal Time)
7d81990a-2024-4d6d-b6f1-519d5e7d7d8d,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,0b05d56f-1a2f-475f-92bb-d6d0f29c70cb,"This is not fixed. it looks like someone just smeared some grey stuff on the top. I think you need to see if the crack goes through the floor or if those chunks of concrete are broken off and will come up with forklift traffic. if so, it needs to be taken out and patched with concrete patch material.",GH76KHLNGRWQ,Wed Sep 25 2019 23:12:18 GMT+0000 (Coordinated Universal Time)
2cb51771-f578-44f6-a0eb-bc82641e817a,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,09c48390-68e0-49f7-8b70-3961511fc9fe,Panels labeled,L248NLLCA8KU,Wed Sep 25 2019 23:33:13 GMT+0000 (Coordinated Universal Time)
69450e18-a94b-479a-9c95-10c4787906af,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,7243f80c-0cc3-4f73-8c08-f53d63642c72,Damage visible on corner of mullion. ,G2U4LR77Q9KR,Wed Sep 25 2019 23:48:10 GMT+0000 (Coordinated Universal Time)
c6a9c2e9-bcc0-4ec7-9bfb-687e6db81486,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,7b3f0319-4914-400a-8314-a20c865e2bbb,Patch has been repaired,L248NLLCA8KU,Wed Sep 25 2019 21:20:28 GMT+0000 (Coordinated Universal Time)
755f04c2-c573-4278-9de2-e79767bc1e96,49df69ab-c266-4d49-951c-031b16f7a31f,41578740-5a1b-44c0-93b4-2d64296d2d93,b49ffc30-ad57-4542-9fbd-ca791ce097c8,Door is fully operational.,L248NLLCA8KU,Wed Sep 25 2019 21:24:50 GMT+0000 (Coordinated Universal Time)
f8ab9f63-8b20-4838-8c55-7dcba9d89427,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,32bf4242-ebd9-41c4-a470-338c14a6c59b,Dent still visible. ,G2U4LR77Q9KR,Thu Sep 26 2019 00:08:38 GMT+0000 (Coordinated Universal Time)
776f37a0-88ad-41e0-ab74-0d57e9e4ac15,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,e3b89978-32ae-40a3-a6bd-9e5bb003b813,Dent still visible. ,G2U4LR77Q9KR,Thu Sep 26 2019 00:11:25 GMT+0000 (Coordinated Universal Time)
84999001-17ff-4fb3-88f0-abe3b4c5957e,49df69ab-c266-4d49-951c-031b16f7a31f,7d3074b7-8110-4fbf-b5ad-2caae55b9238,2a085fa3-5eed-4bf4-9e46-114a420d59d5,Paint touch up complete. ,G2U4LR77Q9KR,Thu Sep 26 2019 00:21:39 GMT+0000 (Coordinated Universal Time)
