issue_subtype_id,bim360_account_id,bim360_project_id,issue_type_id,issue_subtype,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
670293e7-ed4d-46af-bf31-3186fad5895c,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Design,true,System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),System,Fri Apr 12 2019 21:03:00 GMT+0000 (Coordinated Universal Time),,
225b8610-6137-4232-a70b-3070b26b6715,49df69ab-c266-4d49-951c-031b16f7a31f,765f5372-8242-4249-9e08-b29dc1595f2a,4e16da85-3f71-49b4-990d-34275f5f508c,Field Report,true,MPJQPYNK8WVF,Tue Dec 03 2019 15:30:26 GMT+0000 (Coordinated Universal Time),MPJQPYNK8WVF,Tue Dec 03 2019 15:30:26 GMT+0000 (Coordinated Universal Time),,
6907984d-1cf1-45c5-8043-0bd35bbdbc67,49df69ab-c266-4d49-951c-031b16f7a31f,b1b0037a-1309-4628-9269-3b484685a3ad,833951f6-7a31-40f1-bd90-627557638883,Warranty,false,System,Thu Aug 02 2018 08:38:29 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 08:38:29 GMT+0000 (Coordinated Universal Time),,
a755d517-ccb0-4c8f-98dd-0d7078ebb6f1,49df69ab-c266-4d49-951c-031b16f7a31f,c5dffc31-b6fe-4d81-977a-dad3e51f57e5,50074b7b-188f-44b3-bab7-17e928a86938,Work to Complete,false,System,Thu Aug 02 2018 09:01:41 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 09:01:41 GMT+0000 (Coordinated Universal Time),,
cc4bbf1a-9703-42eb-9335-6bc5ddea43b0,49df69ab-c266-4d49-951c-031b16f7a31f,c5dffc31-b6fe-4d81-977a-dad3e51f57e5,50074b7b-188f-44b3-bab7-17e928a86938,Work List,false,System,Thu Aug 02 2018 09:01:41 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 09:01:41 GMT+0000 (Coordinated Universal Time),,
afda3e56-944b-48e2-aa2e-71a10d21a4c3,49df69ab-c266-4d49-951c-031b16f7a31f,c574ff5d-2e7f-45f0-9d75-66785117e63c,af95f99e-40d5-468d-b003-537f5a8e0f73,Pre-Punch List,true,System,Mon Dec 02 2019 20:49:30 GMT+0000 (Coordinated Universal Time),System,Mon Dec 02 2019 20:49:30 GMT+0000 (Coordinated Universal Time),,
2e091cce-fd00-4ec8-8177-dfd9447bfd5d,49df69ab-c266-4d49-951c-031b16f7a31f,c574ff5d-2e7f-45f0-9d75-66785117e63c,af95f99e-40d5-468d-b003-537f5a8e0f73,Punch List,true,System,Mon Dec 02 2019 20:49:30 GMT+0000 (Coordinated Universal Time),System,Mon Dec 02 2019 20:49:30 GMT+0000 (Coordinated Universal Time),,
54916121-fb9f-4d75-905e-8a02108b07d0,49df69ab-c266-4d49-951c-031b16f7a31f,682b9712-55e6-4676-9d60-9f0d614046cd,5b0e460f-c5d0-469b-9242-590ac7b44a95,Quality,true,System,Thu Aug 02 2018 08:11:09 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 08:11:09 GMT+0000 (Coordinated Universal Time),,
43e62282-3f07-4f5d-9b08-ae21056bcd44,49df69ab-c266-4d49-951c-031b16f7a31f,bfc9131d-456d-4ce0-a6e7-e9e8cabcf1bc,50ac6b33-fb48-4a72-a3ee-52ebf1cb2577,Warranty,false,System,Thu Aug 02 2018 08:10:27 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 08:10:27 GMT+0000 (Coordinated Universal Time),,
8c9074f6-054f-4802-ae13-e52f08dff383,49df69ab-c266-4d49-951c-031b16f7a31f,9a4e3cf9-ee17-4250-96b2-565d41050b4f,7cd35c42-32b0-444e-a8bb-db7e65c9a0e7,Quality,true,System,Thu Aug 02 2018 08:22:32 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 08:22:32 GMT+0000 (Coordinated Universal Time),,
3142ecf3-9146-479a-a008-acf2a66dc47e,49df69ab-c266-4d49-951c-031b16f7a31f,8f9fec33-ddd4-4a10-9d4b-eaa0ff2883f1,a56bcdd3-4580-4e68-acc2-57315d75914e,Safety,true,System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),,
7005da0c-4b99-4440-bd09-e53f5d1a7001,49df69ab-c266-4d49-951c-031b16f7a31f,8f9fec33-ddd4-4a10-9d4b-eaa0ff2883f1,a56bcdd3-4580-4e68-acc2-57315d75914e,Quality,true,System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),,
7c5f2d5b-1d03-48b9-a4ab-65debedffd3c,49df69ab-c266-4d49-951c-031b16f7a31f,8f9fec33-ddd4-4a10-9d4b-eaa0ff2883f1,a56bcdd3-4580-4e68-acc2-57315d75914e,Observation,true,System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),System,Tue Aug 27 2019 13:06:30 GMT+0000 (Coordinated Universal Time),,
18eb5599-6bab-46b3-9119-4ce475c118f5,49df69ab-c266-4d49-951c-031b16f7a31f,76412e24-bd1a-44bf-9702-7e2f0aa9af76,c611e77b-1025-44b2-8abb-e8f2a65a1249,Quality,true,System,Thu Aug 02 2018 08:53:40 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 08:53:40 GMT+0000 (Coordinated Universal Time),,
653d6a21-c3df-4add-aa0b-be79675a16ca,49df69ab-c266-4d49-951c-031b16f7a31f,d3493554-3819-4988-ae06-dd62cf28d062,d290fa75-8cf2-4319-8335-19bb9a6c8e7f,Warranty,false,System,Tue Sep 04 2018 18:40:00 GMT+0000 (Coordinated Universal Time),System,Tue Sep 04 2018 18:40:00 GMT+0000 (Coordinated Universal Time),,
8a10de76-31d9-4b59-b434-5fb1aabab3fe,49df69ab-c266-4d49-951c-031b16f7a31f,5298b917-4bbe-4422-a01a-bfd59d357721,bd716ed6-764d-4b0b-be12-e5da6beaa2fa,Pre-Punch List,true,System,Tue Sep 04 2018 18:45:30 GMT+0000 (Coordinated Universal Time),System,Tue Sep 04 2018 18:45:30 GMT+0000 (Coordinated Universal Time),,
103821dc-f55c-43fc-aab1-87f2f3f6433c,49df69ab-c266-4d49-951c-031b16f7a31f,5298b917-4bbe-4422-a01a-bfd59d357721,bd716ed6-764d-4b0b-be12-e5da6beaa2fa,Punch List,true,System,Tue Sep 04 2018 18:45:30 GMT+0000 (Coordinated Universal Time),System,Tue Sep 04 2018 18:45:30 GMT+0000 (Coordinated Universal Time),,
d61a17eb-ac5d-4359-8526-19d45cc58806,49df69ab-c266-4d49-951c-031b16f7a31f,3ab98d61-d459-4ac3-b302-a940580bb343,85b91bf0-bf73-4051-8678-fca0a88d7793,Clash,true,,Mon Oct 22 2018 08:01:57 GMT+0000 (Coordinated Universal Time),,Mon Oct 22 2018 08:01:57 GMT+0000 (Coordinated Universal Time),,
2e816fbf-4388-488e-9434-b8adddd226e0,49df69ab-c266-4d49-951c-031b16f7a31f,3ab98d61-d459-4ac3-b302-a940580bb343,85b91bf0-bf73-4051-8678-fca0a88d7793,Coordination,true,,Tue Oct 16 2018 10:54:21 GMT+0000 (Coordinated Universal Time),,Tue Oct 16 2018 10:54:21 GMT+0000 (Coordinated Universal Time),,
362a0ff8-8571-4b76-b56f-24ce10179db9,49df69ab-c266-4d49-951c-031b16f7a31f,307184a0-cd35-4f09-ae05-42186cbc8f58,28abfb9d-0203-49c5-a6de-80e56cc14290,Work to Complete,false,System,Thu Aug 02 2018 09:10:16 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 09:10:16 GMT+0000 (Coordinated Universal Time),,
61121e67-1f57-43d3-9b66-32584e48a878,49df69ab-c266-4d49-951c-031b16f7a31f,307184a0-cd35-4f09-ae05-42186cbc8f58,28abfb9d-0203-49c5-a6de-80e56cc14290,Work List,false,System,Thu Aug 02 2018 09:10:16 GMT+0000 (Coordinated Universal Time),System,Thu Aug 02 2018 09:10:16 GMT+0000 (Coordinated Universal Time),,
f6d9454d-2bf7-4657-86f7-db0021854d47,49df69ab-c266-4d49-951c-031b16f7a31f,f55db3c7-da62-4856-9d74-612e7826ea81,f6815a95-33e6-4952-b6e4-11b2d33468bf,Safety,true,System,Mon Dec 17 2018 12:57:30 GMT+0000 (Coordinated Universal Time),System,Mon Dec 17 2018 12:57:30 GMT+0000 (Coordinated Universal Time),,
